,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
9278,14331599,1646546056,0x649a2a970886090f4b35361eb771c4a4d10865569a708bf933bd1e2a6ec673a3,140,0x370f08c8ed35b6d1eb28daf34e876c326e3c924c7d87608a0c589adfd1798be8,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x000000000000000000000000000000000000dead,100000000000000000000000000,Chedda Token,CHEDDA,18,112,57295,20973364581,38197,7839618,deprecated,274453
9315,14331871,1646549736,0xfc073aa0bf065193cbc7d46390beff27cb7e869d8f748b531d76c07d610acfc4,141,0xa6a4c21d8e4ad657a24c56102f7c5e251f7c55e1da75d78d70fc5154c1ea2cc8,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x000000000000000000000000000000000000dead,100000000000000000000000000,Chedda Token,CHEDDA,18,171,57295,17928896985,38197,20371950,deprecated,274181
298,14186959,1644611724,0x73bb46da755e7e434620c2a0ccb70fde45ee37e7440fdab0aa301cd308ed1bfc,112,0xcca695da0c214912851da77e3a2a255f2d7f3bd2c8d0d770dc15da31b0a6271f,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x79cffe66800a9b56ec32a668cb21a70004228edb,1000000000000000000000,Chedda Token,CHEDDA,18,328,57583,102034022804,38389,29880538,deprecated,419093
313,14186960,1644611784,0xb0eaf1cd74269151c6b3ff619e3a70483700fcc76ee32f3b15d43e5ffa20005d,113,0x6c94e0821dcdebb4a6a7b8ba7d2d19afed199b7158fde18242a5d8cb4afcd686,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x1f0dd9efb904dea4a52dc09c3f5d76e5cb6c212f,1000000000000000000000,Chedda Token,CHEDDA,18,336,57601,114599906046,38401,29943757,deprecated,419092
320,14186979,1644612040,0xb0fb3e3506f9d2e1758b42199e144aacaf24fc8eec3ae945357dd8ba371f41b9,114,0x0677e2479bc9fa1734053fd9b1a5b51dd817c9447e9001f2fa999b297808a2ca,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x79cffe66800a9b56ec32a668cb21a70004228edb,1800000000000000000000000000,Chedda Token,CHEDDA,18,22,57619,104515108531,38413,2723774,deprecated,419073
324,14186981,1644612049,0xfb4e4572dd7ac7be99ba57bd132abd51a81babd1a53e8610bc1f8ce1447a6ece,115,0x331ab8171a653a5d3b54489b24686ae5c9bae694ef24177f09daf65b00ffff5b,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x1f0dd9efb904dea4a52dc09c3f5d76e5cb6c212f,1200000000000000000000000000,Chedda Token,CHEDDA,18,116,57637,98678738444,38425,11958928,deprecated,419071
3553,14188289,1644628908,0x921a27ee56be096da52850eddcd39db6abecdfa20bb9f0f8c78cc2bc7639857f,117,0x4428493c1a9714970e4ba7f97919b7b83cf613a7f2d2ccd14420cfe0a48e1e97,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x23f33c5f0887b385b971355006a18074771ed50b,1000000000000000000000,Chedda Token,CHEDDA,18,112,57601,68872269355,38401,7782254,deprecated,417763
3554,14188289,1644628908,0x3930158d025b47b67d4c51f153cb623c30c7c7fecf63114470e732905465c1db,118,0x4428493c1a9714970e4ba7f97919b7b83cf613a7f2d2ccd14420cfe0a48e1e97,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x8d29e90625213f4eedbdc49e6358fdbf76b9ddd0,1000000000000000000000,Chedda Token,CHEDDA,18,184,57601,68872269355,38401,17498094,deprecated,417763
3588,14188308,1644629118,0x052cf75a86941ec17a773159166fa37ea49ce2e97d836191a7b25a964b0360af,119,0xc8e6b1d3942afc12a5fa721817a700f5e25bd20f56b22c013efd4a0da68a4e8b,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x23f33c5f0887b385b971355006a18074771ed50b,1800000000000000000000000000,Chedda Token,CHEDDA,18,197,57637,54543585557,38425,17024023,deprecated,417744
3592,14188311,1644629180,0x46df47b390f72f1fca136065866670d9d85f75d616e0908bfe9fba280ad8f625,120,0x9c84d92dfd4343238639bdda3267393819e6359a11197e33d77211ef58d72aa6,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x8d29e90625213f4eedbdc49e6358fdbf76b9ddd0,1200000000000000000000000000,Chedda Token,CHEDDA,18,187,57637,60438728760,38425,16937599,deprecated,417741
9375,14193409,1644697205,0x9c6883fb67e1ee066b7b9633184f1aef2e0e3e82d154483aebfbbceafd533c86,121,0xe370badeb4475ed933011c07edb7a87a8a52b72c381492a916735199626fff4d,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x91170826f317dcfcf54043fa89209656857facf9,1960000000000000000000000,Chedda Token,CHEDDA,18,75,83269,61229745494,55513,7250313,deprecated,412643
7743,14182690,1644555045,0xab38000ea34361be0c60759d846c07770928017c63b0e7b9ad4bcd54390b89bd,108,0x04179eeaf997a5bf85581f23b4087eb7416d313c9f2cbd77ca46326317c30439,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0xb0d51fb4ef1e467f099c23ad0b9a8b2bdb8d97e3,566202090000000000000000,Chedda Token,CHEDDA,18,281,57619,63149966656,38413,23697485,deprecated,423362
8155,14183310,1644563208,0xc6ba61d63e86bedc1d594fa0a861c3d436996ef011424bab8a17863df2394d31,110,0x0495b0936b8806075a87d4b8a3fb5af41c195d2e98c3fd3cea78a891df24e833,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x32a505bf9db617d23bf3ebaac9aef80cb24a828c,294539208908097998640052,Chedda Token,CHEDDA,18,295,233876,41670826397,159683,19512517,deprecated,422742
8156,14183310,1644563208,0xc6ba61d63e86bedc1d594fa0a861c3d436996ef011424bab8a17863df2394d31,110,0x0495b0936b8806075a87d4b8a3fb5af41c195d2e98c3fd3cea78a891df24e833,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x0000000000000000000000000000000000000000,3036486689774206171546,Chedda Token,CHEDDA,18,295,233876,41670826397,159683,19512517,deprecated,422742
8157,14183310,1644563208,0xc6ba61d63e86bedc1d594fa0a861c3d436996ef011424bab8a17863df2394d31,110,0x0495b0936b8806075a87d4b8a3fb5af41c195d2e98c3fd3cea78a891df24e833,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x9625088c654d26b9132feb52d37107ab898d19c6,6072973379548412343092,Chedda Token,CHEDDA,18,295,233876,41670826397,159683,19512517,deprecated,422742
6169,14173311,1644429024,0x8691edefc1c423628104afbd5dd9641cf264a2684848e329e12a9d4299b1755b,106,0xb3b5cfcade88dd96f41996f8250630e4fd939445c859690398a8a56f83238d62,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0xb0d51fb4ef1e467f099c23ad0b9a8b2bdb8d97e3,1000000000000000000000,Chedda Token,CHEDDA,18,148,83251,96397999419,55501,8878820,deprecated,432741
6292,14173353,1644429559,0xce52faddcd472c56bbf2ee56fbb1cd60517915c3568232c9d51a89207729900a,107,0x014044d79e3e569a00c9a083d0c26be76002efc3fb135b39ec3ebd3f8e2df001,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0xb0d51fb4ef1e467f099c23ad0b9a8b2bdb8d97e3,158000000000000000000000,Chedda Token,CHEDDA,18,310,57619,75089379917,38413,22432073,deprecated,432699
1068,14167811,1644355553,0x5601890c43fa48fd4b5858bea1cd9206628a820bc02c7d64b81e8eba1f83b53e,105,0x274303fb9cc09b348424d9d20f908a644320f199d1b7ea354ea9a5620a9b8170,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x5e00cb700be267b5fab31c6125d5e76ce42f77cb,1000000000000000000000,Chedda Token,CHEDDA,18,152,83233,134110595415,55489,9134666,deprecated,438241
2597,14125005,1643783221,0x1da983a0fa4cd63a244a8d1ec073d167d2cb5ce9905a0ec49c7ca45bec17b5a4,101,0xff2e21fc4bd4555b1e441aee460003dd2e1705b7dd0e97500ac5a43965a45893,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0xaae48edc5df5ceb8bce5a3896c487054bd388c9c,27100000000000000000000,Chedda Token,CHEDDA,18,206,57619,75692821365,38413,15530735,deprecated,481047
2727,14125267,1643786709,0x9795e06fc3b9d20c9f598b6724108fca089e7fe85572d187146190aa3077f52d,102,0x5b5c605c0917047a4aaf62e5cc3f56e744220e48d8ce8f91f490abbbbd95ef62,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0xaae48edc5df5ceb8bce5a3896c487054bd388c9c,4170000000000000000000000,Chedda Token,CHEDDA,18,276,57637,79647306522,38425,22131629,deprecated,480785
9937,14149162,1644106899,0xe95368db6cf729dc53b2e0f1d443451dc7ce1dea5ece35db115fadcef945792f,104,0x0e1597a5b23a398a91a8390d29d0963784bc716334e6d648c2b61d754419de51,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x07d0cd787a7d92c0c27f36c315a7e74555c1ac92,1000000000000000000000,Chedda Token,CHEDDA,18,248,83251,72104979528,55501,17436857,deprecated,456890
2479,14105304,1643521109,0x9638c8692c3ae1eded31a71452f910e0c571d095ab14c8fda1f57b4110fe0af6,90,0xde2bb51dfef39284d8549d6cb85fe2ee638f8d60c93b54a75e71c7eb108e9c02,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0xf37929f062306154ebeb9fa3bd3dd58e98dd2538,60000000000000000000000000,Chedda Token,CHEDDA,18,151,83269,73563644412,55513,11688089,deprecated,500748
